Artist,Title,Year,URL
Querbeat,Guten Morgen Barbarossaplatz,2017,https://youtu.be/yyJUvDs7bY8
Querbeat,Heimatkaff,2018,https://youtu.be/oQMDc7WQFzE?si=pFo3Fb7Ofk17kQoO
Querbeat,Hück oder Nie,2014,https://www.youtube.com/watch?v=Q0z2p3QqFMg
Querbeat,Nie mehr Fastelovend,2015,https://www.youtube.com/watch?v=UhZwKNqDXwE&t=5s
Querbeat,Randale&Hurra,2018,https://youtu.be/3K5_81PU2jM?si=KyCDD5MdGTEzXlGZ
Querbeat,Romeo,2018,https://www.youtube.com/watch?v=2Nf8lkTa86c
Querbeat,Stonn op un danz,2013,https://www.youtube.com/watch?v=OUTwS37sOFo
Querbeat,Tschingderassabum,2016,https://youtu.be/7kTn8Kizfg4
Räuber,Am Eigelstein es Musik,1995,https://youtu.be/5QK0HLP5KY8?si=Q4G73jkywDNSZPbI
Räuber,Dat es Heimat,2015,https://www.youtube.com/watch?v=vSv5C780VkM
Räuber,Denn wenn et Trömmelche jeht,1993,https://youtu.be/GJpTDLVx6aQ
Räuber,Für die Iwigkeit,2018,https://www.youtube.com/watch?v=y5iM6gu-1BA
Räuber,Immer wenn ich anh ming Heimat denk,2020,https://youtu.be/Pb9gJJGMsuE
Räuber,Kölsche Junge bütze joot,1996,https://www.youtube.com/watch?v=nIsJLepu7lY
Räuber,Kumm loss jonn,2020,https://www.youtube.com/watch?v=PZRTmOiL0Bo
Räuber,Op dem Maat,1993,https://www.youtube.com/watch?v=uc8WS_pXXtM
Räuber,Schau mir in die Augen,1993,https://www.youtube.com/watch?v=QJbIwWykH8w
Räuber,Vögelein vom Titicacasee,2001,https://www.youtube.com/watch?v=o-zJBH2de0c
Rockenmarieche, Ovends wenn et dunkel weed,2017,https://youtu.be/YVRil76MtjU?si=XT_9--CG6Jf_u1BC
Stadtrand,Alles för die Liebe,2022,https://www.youtube.com/watch?v=6AIc37GLW6o
Stadtrand,Ejal wo de bes,2020,https://youtu.be/5aO5AJWXcj0?si=I50xtrWlQ-g7X2yv
Stadtrand,Orjenal,2018,https://www.youtube.com/watch?v=zYZ6QChKdTE
Stadtrand,Uns jeiht et joot,2023,https://youtu.be/bZGNJEWON-4?si=QlN7SM5NBIeeKSX_
Tommy Engel,En unserem Veedel,1973,https://www.youtube.com/watch?v=s4QzMkV0nvk
"Trude Herr, Wolfgang Niedecken & Tommy Engel",Niemals geht man so ganz,1987,https://www.youtube.com/watch?v=mN52BzdLh_M
Wicky Junggeburth,Einmol Prinz ze sin,1993,https://www.youtube.com/watch?v=ieu7g5bTyt0
Willy Millowitsch,Der treue Husar,1988,https://www.youtube.com/watch?v=KhAc-N4GH3U
Willy Millowitsch,Kölsche Jung,1997,https://www.youtube.com/watch?v=mn7aht9cNaQ
